Entreprise;Secteur;Ville;Code Postal;Departement;Effectif;Site Web;Email;Email;EmailSource;Confiance;Note;MX
AGENCE EUROPEENNE DE FENETRES;Menuiserie bois;PARIS;75014;75;20-49 sal.;https://www.aef-fenetres.com/?utm_source=GMB-14&utm_medium=web_site_button&utm_id=google;contact@aef-fenetres.com;contact@aef-fenetres.com;scrape;haute;;ok
HOME GARDE PROTECTION;Menuiserie métallique;PARIS;75005;75;10-19 sal.;https://www.home-garde-protection.fr/?utm_source=Google&utm_medium=SeoLocal&utm_campaign=GMB75;contact@home-garde-protection.fr;contact@home-garde-protection.fr;scrape;haute;;ok
AUSTRAL SOLAR FRANCE;Électricité;PARIS;75008;75;10-19 sal.;https://australsolar.fr/;pierre.grondin@austral-energie.com;pierre.grondin@austral-energie.com;scrape;moyenne;;ok
CONNECTING TECHNOLOGY;Électricité;PARIS;75008;75;10-19 sal.;https://www.connecting-technology.com/;contact@connecting-technology.com;contact@connecting-technology.com;devine;moyenne;;ok
INST MAINT EQUIP ELECT SPECIALISE;Électricité;BAGNEUX;92220;75;10-19 sal.;https://imeestelecom.fr/;contact@imeestelecom.fr;contact@imeestelecom.fr;devine;moyenne;;ok
DIGISECUR;Électricité;PARIS;75012;75;10-19 sal.;http://www.digisecur.fr/;contact@digisecur.fr;contact@digisecur.fr;devine;moyenne;;ok
CITYELEC;Électricité;PARIS;75018;75;10-19 sal.;;cityelec75@gmail.com;cityelec75@gmail.com;annuaire;moyenne;;ok
MOKRANE FRANCE ELECTRICITE;Électricité;PARIS;75011;75;10-19 sal.;http://www.mkn-electricite.com/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb;contact@mkn-electricite.com;contact@mkn-electricite.com;devine;moyenne;;ok
SARL MEDIA ALARME;Électricité;PARIS;75013;75;20-49 sal.;;contact@media-alarme.com;contact@media-alarme.com;devine;moyenne;site media-alarme.com;ok
GROUPE BATISO;Électricité;PARIS;75008;75;20-49 sal.;;contact@groupe-batiso.com;contact@groupe-batiso.com;scrape;moyenne;;ok
YCARS;Électricité;PARIS;75001;75;20-49 sal.;;contact@ycars.fr;contact@ycars.fr;devine;moyenne;site ycars.fr;ok
F.C. LEC;Électricité;PARIS;75015;75;20-49 sal.;;contact@fclec.fr;contact@fclec.fr;devine;moyenne;site fclec.fr;ok
AD ENTREPRISES;Plomberie;PARIS;75020;75;10-19 sal.;;contact@ad-entreprises.com;contact@ad-entreprises.com;devine;moyenne;site ad-entreprises.com;ok
SERVICONFOR;Plomberie;PARIS;75005;75;10-19 sal.;;contact@serviconfor.fr;contact@serviconfor.fr;devine;moyenne;site serviconfor.fr;ok
SOPEX-CEMT;Plomberie;PARIS;75011;75;10-19 sal.;;caroline.robert@cemt.fr;caroline.robert@cemt.fr;scrape;moyenne;;ok
CVC EVOLUTION;Plomberie;PARIS;75017;75;10-19 sal.;https://cvc-evolution.fr/;contact@cvc-evolution.fr;contact@cvc-evolution.fr;devine;moyenne;;ok
VBC;Plomberie;PARIS;75017;75;10-19 sal.;;contact@vbc-paris.fr;contact@vbc-paris.fr;devine;moyenne;site vbc-paris.fr;ok
ECO ISOLATION EXPERT;Plomberie;PARIS;75008;75;10-19 sal.;http://www.eco-patrimoine.fr/;contact@eco-patrimoine.fr;contact@eco-patrimoine.fr;devine;moyenne;;ok
VIZEO DESIGN;Plomberie;PARIS;75012;75;10-19 sal.;;vizeo.design@gmail.com;vizeo.design@gmail.com;scrape;moyenne;;ok
BLANCHE;Plomberie;PARIS;75015;75;10-19 sal.;;sanchez@blanche-sa.fr;sanchez@blanche-sa.fr;scrape;moyenne;;ok
ENTREPRISE BERNARD LEMAITRE;Plomberie;PARIS;75014;75;10-19 sal.;;ebl75@hotmail.com;ebl75@hotmail.com;scrape;moyenne;;ok
ENTREPRISE O ESTRADE;Plomberie;PARIS;75015;75;20-49 sal.;https://www.if-renovation.fr/;contact@if-renovation.fr;contact@if-renovation.fr;devine;moyenne;;ok
SARL SOPODEX;CVC/Thermique;PARIS;75020;75;10-19 sal.;;contact@sopodex.fr;contact@sopodex.fr;scrape;moyenne;;ok
AU RAPIDE DEPANNAGE;CVC/Thermique;MAISONS-ALFORT;94700;75;20-49 sal.;;contact@r-verrier.fr;contact@r-verrier.fr;scrape;moyenne;;ok
AVENENCE;CVC/Thermique;CLAMART;92140;75;20-49 sal.;;contact@avenence-france.fr;contact@avenence-france.fr;devine;moyenne;site avenence-france.fr;ok
TECHGAINE;CVC/Thermique;PARIS;75009;75;20-49 sal.;http://www.groupetechnicable.fr/;contact@groupetechnicable.fr;contact@groupetechnicable.fr;devine;moyenne;;ok
LEADER ENVIRONNEMENT;CVC/Thermique;PARIS;75002;75;20-49 sal.;https://leaderenvironnement.fr/;contact@leaderenvironnement.fr;contact@leaderenvironnement.fr;devine;moyenne;;ok
COPPERTEAM;CVC/Thermique;CHATOU;78400;75;20-49 sal.;;contact@copperteam.fr;contact@copperteam.fr;scrape;moyenne;;ok
ALIZE CLIM;CVC/Thermique;GENNEVILLIERS;92230;75;20-49 sal.;http://www.alize-clim.com/;contact@alize-clim.com;contact@alize-clim.com;devine;moyenne;;ok
PROJET ARTISAN;Menuiserie bois;PARIS;75019;75;10-19 sal.;https://projet-artisan.com/;contact@projet-artisan.com;contact@projet-artisan.com;devine;moyenne;;ok
COMPAGNON DU BATIMENT;Menuiserie bois;PARIS;75011;75;10-19 sal.;https://plombiers-75012.fr/;contact@plombiers-75012.fr;contact@plombiers-75012.fr;devine;moyenne;;ok
AUGUSTO ET FRERES;Menuiserie bois;PARIS;75016;75;20-49 sal.;;ets.pereira.augusto@gmail.com;ets.pereira.augusto@gmail.com;scrape;moyenne;;ok
SOCIETE JEANNIN;Menuiserie métallique;PARIS;75009;75;10-19 sal.;;contact@serrureriejeannin.com;contact@serrureriejeannin.com;devine;moyenne;site;ok
TORRAS METALLERIE;Menuiserie métallique;PARIS;75017;75;10-19 sal.;;contact@torras.fr;contact@torras.fr;scrape;moyenne;;ok
SONAY;Menuiserie métallique;ALFORTVILLE;94140;75;10-19 sal.;;contact@sonay.com;contact@sonay.com;devine;moyenne;site sonay.com;ok
DJYMS SPBM;Menuiserie métallique;BOULOGNE-BILLANCOURT;92100;75;10-19 sal.;https://www.cegedim-media.fr/;kbelage@coperton.com;kbelage@coperton.com;scrape;moyenne;;ok
GEORGES LABO;Menuiserie métallique;PARIS;75018;75;20-49 sal.;https://www.georges-labo.fr/;contact@georges-labo.fr;contact@georges-labo.fr;devine;moyenne;;ok
SOCIETE AUTO-FERMETURE;Menuiserie métallique;PARIS 11;75011;75;20-49 sal.;http://www.auto-fermetureaf-paris.fr/contact;contact@auto-fermetureaf-paris.fr;contact@auto-fermetureaf-paris.fr;devine;moyenne;;ok
SARL MSC;Menuiserie métallique;PARIS;75011;75;20-49 sal.;https://www.msc.com/fra/contact-us?lang=en-gb;contact@msc.com;contact@msc.com;devine;moyenne;;ok
S.A.S. PEREIRA;Peinture;PARIS;75007;75;10-19 sal.;http://saspereira.com/;contact@saspereira.com;contact@saspereira.com;devine;moyenne;;ok
SMPI EMBELLISSEMENT;Peinture;PARIS;75012;75;10-19 sal.;http://www.smpi-embellissement.com/;contact@smpi-embellissement.com;contact@smpi-embellissement.com;devine;moyenne;;ok
CRISTAL DECOR;Peinture;VINCENNES;94300;75;10-19 sal.;https://cristalconcorde.com/;contact@cristalconcorde.com;contact@cristalconcorde.com;devine;moyenne;;ok
MON CONCEPT HABITATION;Peinture;PARIS;75010;75;20-49 sal.;https://www.monconcepthabitation.com/;contact@monconcepthabitation.com;contact@monconcepthabitation.com;devine;moyenne;;ok
EUROPEENNE DE BATIMENT;Peinture;CHAMPIGNY-SUR-MARNE;94500;75;20-49 sal.;;rh@edbatiment.fr;rh@edbatiment.fr;scrape;moyenne;;ok
RMS;Peinture;PARIS;75008;75;20-49 sal.;http://www.retailmanagementservices.fr/;contact@retailmanagementservices.fr;contact@retailmanagementservices.fr;devine;moyenne;;ok
COURSIERS DIRECT SERVICES;Transport fret;MAISONS-ALFORT;94700;75;10-19 sal.;http://www.groupedirectservices.com/;contact@groupedirectservices.com;contact@groupedirectservices.com;devine;moyenne;;ok
DRIV'EXPRESS;Transport fret;PARIS;75008;75;10-19 sal.;http://drivexpress.org/;contact@drivexpress.org;contact@drivexpress.org;devine;moyenne;;ok
L & L TRANSPORTS;Transport fret;PARIS;75008;75;10-19 sal.;https://www.rls-transport.com/;contact@rls-transport.com;contact@rls-transport.com;devine;moyenne;;ok
SOCIETE EUROPEENNE TRANSPORT SERVICE;Transport fret;CRETEIL;94000;75;10-19 sal.;https://www.transports-sets.fr/?utm_source=Google_My_Business&utm_medium=Organic&utm_campaign=GMB;contact@transports-sets.fr;contact@transports-sets.fr;devine;moyenne;;ok
TRANSGO;Transport fret;PARIS;75013;75;10-19 sal.;;contact@transgo.fr;contact@transgo.fr;scrape;moyenne;;ok
SOTRAM GLOBAL NETWORK;Transport proximité;PARIS;75008;75;10-19 sal.;http://www.sotramglobal.com/;contact@sotramglobal.com;contact@sotramglobal.com;devine;moyenne;;ok
HELPIANOS;Transport proximité;ISSOU;78440;75;10-19 sal.;https://www.helpianostransport.com/contact.php;contact@helpianostransport.com;contact@helpianostransport.com;devine;moyenne;;ok
GM TRANSPORT;Transport proximité;SAINT-MAUR-DES-FOSSES;94100;75;10-19 sal.;https://www.stg-logistique.fr/;contact@stg-logistique.fr;contact@stg-logistique.fr;devine;moyenne;;ok
AIMENE TRANSPORT;Transport proximité;IVRY-SUR-SEINE;94200;75;10-19 sal.;https://www.jeanbesson.com/;contact@jeanbesson.com;contact@jeanbesson.com;devine;moyenne;;ok
DMT;Transport proximité;PARIS;75008;75;10-19 sal.;https://www.instagram.com/studios_dmtlab/;contact@instagram.com;contact@instagram.com;devine;moyenne;;ok
1000 ET UNE COURSES;Transport proximité;PARIS;75015;75;10-19 sal.;http://1001courses.fr/;contact@1001courses.fr;contact@1001courses.fr;devine;moyenne;;ok
TRANSPORTS BUHOT;Transport proximité;BOIS-D'ARCY;78390;75;10-19 sal.;;transports-buhot@wanadoo.fr;transports-buhot@wanadoo.fr;scrape;moyenne;;ok
MPG UPELA;Transport proximité;PARIS;75008;75;10-19 sal.;https://www.upela.com/;contact@upela.com;contact@upela.com;devine;moyenne;;ok
TRANSPODEM;Transport proximité;PARIS;75017;75;10-19 sal.;http://www.transpodem-demenagement.com/;contact@transpodem-demenagement.com;contact@transpodem-demenagement.com;devine;moyenne;;ok
TRANSPORTS TOURAINE PARIS;Transport proximité;VILLENEUVE-LE-ROI;94290;75;20-49 sal.;http://www.transportstouraineparis.fr/;contact@transportstouraineparis.fr;contact@transportstouraineparis.fr;devine;moyenne;;ok
SD LOGISTIQUE;Transport proximité;PARIS;75016;75;20-49 sal.;https://www.cevalogistics.com/fr;contact@cevalogistics.com;contact@cevalogistics.com;devine;moyenne;;ok
TMAD;Transport proximité;PARIS;75009;75;20-49 sal.;https://www.groupmad.com/;contact@groupmad.com;contact@groupmad.com;devine;moyenne;;ok
GENTI;Finition BTP;PARIS;75017;75;10-19 sal.;https://www.etsgenti.fr/;contact@etsgenti.fr;contact@etsgenti.fr;devine;moyenne;;ok
RENOSTEP;Finition BTP;PARIS;75011;75;10-19 sal.;http://www.reno.fr/;contact@reno.fr;contact@reno.fr;devine;moyenne;;ok
B RENOVATION;Finition BTP;PARIS;75008;75;10-19 sal.;https://sb-renovation-idf.fr/;contact@sb-renovation-idf.fr;contact@sb-renovation-idf.fr;devine;moyenne;;ok
AMBIANCE DECO;Finition BTP;PARIS;75015;75;10-19 sal.;;contact@ambiance-deco.fr;contact@ambiance-deco.fr;scrape;moyenne;;ok
HIN PLUS;Finition BTP;SEVRES;92310;75;10-19 sal.;http://hinplus.fr/;contact@hinplus.fr;contact@hinplus.fr;devine;moyenne;;ok
BATI RENOV CONCEPT;Finition BTP;LOUVECIENNES;78430;75;10-19 sal.;https://www.facebook.com/profile.php?id=100085699533641;contact@facebook.com;contact@facebook.com;devine;moyenne;;ok
DECO CONCEPT;Finition BTP;PARIS;75020;75;20-49 sal.;https://www.kamemeconcept.com/;contact@kamemeconcept.com;contact@kamemeconcept.com;devine;moyenne;;ok
INTECSYS;Électricité;MONTESSON;78360;78;10-19 sal.;;contact@intecsys.fr;contact@intecsys.fr;scrape;moyenne;;ok
VALLOTECH;Électricité;BUC;78530;78;10-19 sal.;https://www.vallotech.com/;contact@vallotech.com;contact@vallotech.com;devine;moyenne;;ok
CEOS FACILITY;Électricité;LES MUREAUX;78130;78;10-19 sal.;https://www.ceos-facility.fr/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14334852833792248810;contact@ceos-facility.fr;contact@ceos-facility.fr;devine;moyenne;;ok
ELPHITEC;Électricité;RUNGIS;94150;78;10-19 sal.;;david.duval@vinci-energies.com;david.duval@vinci-energies.com;scrape;moyenne;groupe Vinci;ok
FIBER PRO CONSULTING;Électricité;CROISSY-SUR-SEINE;78290;78;10-19 sal.;http://fiberpro.fr/;contact@fiberpro.fr;contact@fiberpro.fr;devine;moyenne;;ok
PRAD ELEC;Électricité;TRAPPES;78190;78;10-19 sal.;;contact@pradelec.com;contact@pradelec.com;scrape;moyenne;;ok
VINCI ENERGIES INTERNATIONAL & SYSTEMS;Électricité;MONTESSON;78360;78;20-49 sal.;http://vinci-energies.fr/;contact@vinci-energies.fr;contact@vinci-energies.fr;devine;moyenne;;ok
EPELEC;Électricité;VITRY-SUR-SEINE;94400;78;20-49 sal.;http://www.idee-light.com/;contact@idee-light.com;contact@idee-light.com;devine;moyenne;;ok
O-S SECURITE;Électricité;CHATOU;78400;78;20-49 sal.;http://os-securite.com/;contact@os-securite.com;contact@os-securite.com;devine;moyenne;;ok
DOMATEC;Électricité;CHATOU;78400;78;20-49 sal.;http://www.groupehorus.fr/;contact@groupehorus.fr;contact@groupehorus.fr;devine;moyenne;;ok
REALISATIONS MAINTENANCE ELECTRIQUES;Électricité;FONTENAY-SOUS-BOIS;94120;78;20-49 sal.;;contact@rme.fr;contact@rme.fr;devine;moyenne;site rme.fr;ok
ACP THERMIQUE;Plomberie;SARTROUVILLE;78500;78;10-19 sal.;http://www.acp-thermique.fr/;contact@acp-thermique.fr;contact@acp-thermique.fr;devine;moyenne;;ok
BEST CELCIUS;Plomberie;CHAVENAY;78450;78;10-19 sal.;https://www.celsius.care/;contact@celsius.care;contact@celsius.care;devine;moyenne;;ok
BOLERO;Plomberie;ECQUEVILLY;78920;78;10-19 sal.;https://www.ciali.fr/bolero;contact@ciali.fr;contact@ciali.fr;devine;moyenne;;ok
BALATONI;Plomberie;ECQUEVILLY;78920;78;10-19 sal.;http://www.ciali.fr/balatoni;contact@ciali.fr;contact@ciali.fr;devine;moyenne;;ok
PLOMBERIE CHAUFFAGE CLIMATISATION;Plomberie;COIGNIERES;78310;78;10-19 sal.;https://www.climplus.com/infos-agence/coignieres-clim-5888;contact@climplus.com;contact@climplus.com;devine;moyenne;;ok
AS PLOMBERIE;Plomberie;TRAPPES;78190;78;10-19 sal.;http://www.solutionplomberie78.fr/;contact@solutionplomberie78.fr;contact@solutionplomberie78.fr;devine;moyenne;;ok
MARLY SERVICE;Plomberie;MAREIL-MARLY;78750;78;10-19 sal.;https://www.marlyservice.fr/;contact@marlyservice.fr;contact@marlyservice.fr;devine;moyenne;;ok
AMITS;Plomberie;MANTES-LA-VILLE;78711;78;10-19 sal.;https://www.facebook.com/amitisosteocupping/;contact@facebook.com;contact@facebook.com;devine;moyenne;;ok
SAS HENON;Plomberie;ACHERES;78260;78;20-49 sal.;https://www.henon.pro/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1697391324333575627;contact@henon.pro;contact@henon.pro;devine;moyenne;;ok
LUMIFEU;CVC/Thermique;CONFLANS-SAINTE-HONORINE;78700;78;10-19 sal.;http://www.lumifeu.com/contact;contact@lumifeu.com;contact@lumifeu.com;devine;moyenne;;ok
JADO;CVC/Thermique;HOUILLES;78800;78;10-19 sal.;;contact@eurljado.com;contact@eurljado.com;devine;moyenne;site eurljado.com;ok
GREEN POWER BATIMENT;CVC/Thermique;SARTROUVILLE;78500;78;10-19 sal.;;c.bonnal@greenpower-batiment.fr;c.bonnal@greenpower-batiment.fr;scrape;moyenne;;ok
SCES THERMIQUES APPLIQUES TRAITEMENT EAU;CVC/Thermique;FEUCHEROLLES;78810;78;10-19 sal.;;comptabilite@state-gc.fr;comptabilite@state-gc.fr;scrape;moyenne;;ok
HELIOENERGIE;CVC/Thermique;BUCHELAY;78200;78;10-19 sal.;https://www.helioenergie.com/;contact@helioenergie.com;contact@helioenergie.com;devine;moyenne;;ok
SN C.P.A.P.;CVC/Thermique;MANTES-LA-VILLE;78711;78;10-19 sal.;;contact@cpap.fr;contact@cpap.fr;scrape;moyenne;;ok
DYNACLEAR;CVC/Thermique;COIGNIERES;78310;78;10-19 sal.;https://www.dynaclear.fr/;contact@dynaclear.fr;contact@dynaclear.fr;devine;moyenne;;ok
R&O - AIR ET EAU;CVC/Thermique;SAINT-REMY-LES-CHEVREUSE;78470;78;10-19 sal.;https://www.reneauxclimatisation.fr/;contact@reneauxclimatisation.fr;contact@reneauxclimatisation.fr;devine;moyenne;;ok
CEIS;CVC/Thermique;BOIS-D'ARCY;78390;78;20-49 sal.;http://www.ceis.eu/;contact@ceis.eu;contact@ceis.eu;devine;moyenne;;ok
HUBERT;CVC/Thermique;BOUGIVAL;78380;78;20-49 sal.;;contact@hubert-chauffage.fr;contact@hubert-chauffage.fr;scrape;moyenne;;ok
CLIM LAMBERT;CVC/Thermique;ORGEVAL;78630;78;20-49 sal.;;contact@climlambert.com;contact@climlambert.com;scrape;moyenne;;ok
SIATHERM SA;CVC/Thermique;MONTESSON;78360;78;20-49 sal.;http://siatherm.fr/;contact@siatherm.fr;contact@siatherm.fr;devine;moyenne;;ok
SOCIETE TOURNOIS SAS;CVC/Thermique;BUC;78530;78;20-49 sal.;;tournois.s.a@wanadoo.fr;tournois.s.a@wanadoo.fr;scrape;moyenne;;ok
SOMATH SOCIETE DE MAINTENANCE ET D'APPLICATIONS THERMIQUES;CVC/Thermique;COIGNIERES;78310;78;20-49 sal.;http://www.somath.fr/;contact@somath.fr;contact@somath.fr;devine;moyenne;;ok
ALBASINI;CVC/Thermique;VELIZY-VILLACOUBLAY;78140;78;20-49 sal.;;depannage@albasini.fr;depannage@albasini.fr;scrape;moyenne;;ok
TECHNI +;CVC/Thermique;ACHERES;78260;78;20-49 sal.;https://www.techniservicesbatiment.fr/;contact@techniservicesbatiment.fr;contact@techniservicesbatiment.fr;devine;moyenne;;ok
A B E MENUISERIE;Menuiserie bois;BUC;78530;78;10-19 sal.;;abemenuiserie@gmail.com;abemenuiserie@gmail.com;scrape;moyenne;;ok
RMCASAIS-REVETEMENTS ET MENUISERIES;Menuiserie bois;FLINS-SUR-SEINE;78410;78;10-19 sal.;https://www.rmcasais.fr/;contact@rmcasais.fr;contact@rmcasais.fr;devine;moyenne;;ok
SERAMEN;Menuiserie bois;CARRIERES-SUR-SEINE;78420;78;10-19 sal.;;ebenezra@seramen.fr;ebenezra@seramen.fr;scrape;moyenne;;ok
SEM BAT;Menuiserie bois;LES MUREAUX;78130;78;10-19 sal.;http://www.sembat.fr/;contact@sembat.fr;contact@sembat.fr;devine;moyenne;;ok
ATELIERS MUQUET;Menuiserie bois;CARRIERES-SUR-SEINE;78420;78;20-49 sal.;http://www.ateliersmuquet.com/;contact@ateliersmuquet.com;contact@ateliersmuquet.com;devine;moyenne;;ok
MISE EN OEUVRE;Menuiserie bois;SARTROUVILLE;78500;78;20-49 sal.;https://www.m2renovandco.com/;contact@m2renovandco.com;contact@m2renovandco.com;devine;moyenne;;ok
BE RM;Menuiserie métallique;AUBERGENVILLE;78410;78;10-19 sal.;http://www.adrem.fr/;contact@adrem.fr;contact@adrem.fr;devine;moyenne;;ok
PULSARE;Menuiserie métallique;VERSAILLES;78000;78;10-19 sal.;http://www.studiopulsar.fr/;contact@studiopulsar.fr;contact@studiopulsar.fr;devine;moyenne;;ok
PROTHERM ISOLATION;Menuiserie métallique;ISSOU;78440;78;10-19 sal.;;compta@protherm-isolation.fr;compta@protherm-isolation.fr;scrape;moyenne;;ok
BBG FRANCE;Menuiserie métallique;ELANCOURT;78990;78;10-19 sal.;http://hyline-aluminumsystems.com/;contact@hyline-aluminumsystems.com;contact@hyline-aluminumsystems.com;devine;moyenne;;ok
SERRURERIE RATIONNELLE DU BATIMENT;Menuiserie métallique;ABLIS;78660;78;20-49 sal.;;seraba@seraba.fr;seraba@seraba.fr;scrape;moyenne;;ok
MARCEL HAMON;Peinture;CONFLANS-SAINTE-HONORINE;78700;78;10-19 sal.;https://www.marcelhamon.fr/;contact@marcelhamon.fr;contact@marcelhamon.fr;devine;moyenne;;ok
SARL BOUVIER PEINTURE;Peinture;LIMAY;78520;78;10-19 sal.;;bouvier-peinture@orange.fr;bouvier-peinture@orange.fr;scrape;moyenne;;ok
LELAIDIER AND CO;Peinture;GARGENVILLE;78440;78;10-19 sal.;;contact@lelaidier.fr;contact@lelaidier.fr;scrape;moyenne;;ok
LACOUR ENTREPRISE;Peinture;VERSAILLES;78000;78;20-49 sal.;http://www.lacour.art/;contact@lacour.art;contact@lacour.art;devine;moyenne;;ok
TRANS'HORSES;Transport fret;DAMMARTIN-EN-SERVE;78111;78;10-19 sal.;http://www.transhorses.com/;contact@transhorses.com;contact@transhorses.com;devine;moyenne;;ok
NELL GREEN;Transport fret;CHAMPIGNY-SUR-MARNE;94500;78;10-19 sal.;http://www.2a5club.com/;contact@2a5club.com;contact@2a5club.com;devine;moyenne;;ok
MJ TRANS;Transport fret;THIAIS;94320;78;10-19 sal.;https://www.facebook.com/profile.php?id=100083286017421;contact@facebook.com;contact@facebook.com;devine;moyenne;;ok
H&N TRANSPORTS;Transport fret;JOUARS-PONTCHARTRAIN;78760;78;10-19 sal.;https://www.instagram.com/hn_transports;contact@instagram.com;contact@instagram.com;devine;moyenne;;ok
AB TRANS 78;Transport fret;COIGNIERES;78310;78;20-49 sal.;http://abfasttransport.fr/;contact@abfasttransport.fr;contact@abfasttransport.fr;devine;moyenne;;ok
3M'TRANS;Transport fret;MAUREPAS;78310;78;20-49 sal.;;3mtrans78@gmail.com;3mtrans78@gmail.com;scrape;moyenne;;ok
AB EXPRESS;Transport proximité;IVRY-SUR-SEINE;94200;78;10-19 sal.;http://www.abpluscourses.com/;contact@abpluscourses.com;contact@abpluscourses.com;devine;moyenne;;ok
ASSU TRANSPORT;Transport proximité;COIGNIERES;78310;78;10-19 sal.;http://www.arca-assurance-transport.fr/?utm_source=gmb;contact@arca-assurance-transport.fr;contact@arca-assurance-transport.fr;devine;moyenne;;ok
DK TRANSPORT;Transport proximité;NEUILLY-SUR-SEINE;92200;78;10-19 sal.;https://www.dk-transport.fr/;contact@dk-transport.fr;contact@dk-transport.fr;devine;moyenne;;ok
SARL TRANSPORTS MARCHAND;Transport proximité;ABLIS;78660;78;10-19 sal.;https://www.trsmarchand.com/;contact@trsmarchand.com;contact@trsmarchand.com;devine;moyenne;;ok
ELITE FIBRE TELECOM;Électricité;FONTENAY-AUX-ROSES;92260;92;10-19 sal.;https://www.elite-telecoms.com/;contact@elite-telecoms.com;contact@elite-telecoms.com;devine;moyenne;;ok
ETIREM;Électricité;PERIGNY SUR YERRES;94520;92;10-19 sal.;http://etirem.fr/;contact@etirem.fr;contact@etirem.fr;devine;moyenne;;ok
SASU ARTEV PLOMBERIE;Électricité;ASNIERES-SUR-SEINE;92600;92;10-19 sal.;https://artisanplombier-92.fr/;contact@artisanplombier-92.fr;contact@artisanplombier-92.fr;devine;moyenne;;ok
SIS CONCEPT;Électricité;CLAMART;92140;92;10-19 sal.;https://s-concept-hair.com/;contact@s-concept-hair.com;contact@s-concept-hair.com;devine;moyenne;;ok
SARL BT  QUALIT;Plomberie;ISSY-LES-MOULINEAUX;92130;92;10-19 sal.;https://btqualit-travaux.com/;contact@btqualit-travaux.com;contact@btqualit-travaux.com;devine;moyenne;;ok
DAO-THOLOZAN ENTREPRENEURS;Plomberie;COURBEVOIE;92400;92;10-19 sal.;;contact@dao-tholozan.fr;contact@dao-tholozan.fr;scrape;moyenne;;ok
STE EXPL DES ETS L WACQUANT;Plomberie;MEUDON;92190;92;10-19 sal.;;wacquant@wacquant.fr;wacquant@wacquant.fr;scrape;moyenne;;ok
ETABLISSEMENTS SALLANDRE;Plomberie;BAGNEUX;92220;92;20-49 sal.;;sallandre@sallandre.fr;sallandre@sallandre.fr;scrape;moyenne;;ok
DSC ASPIRATION;CVC/Thermique;NANTERRE;92000;92;10-19 sal.;http://www.cyclovac.fr/;contact@cyclovac.fr;contact@cyclovac.fr;devine;moyenne;;ok
